agent,training_fraction,training_samples,threshold,utility_success_rate_intent,utility_tn_intent,utility_fp_intent,attack_blocking_rate_intent,attack_tp_intent,attack_fn_intent
banking,0.5,103,1.0,93.73762040428706,11516,769,73.04029304029304,997,368
banking,0.6,123,1.0,93.73762040428706,11516,769,73.04029304029304,997,368
banking,0.7,144,1.0,93.73762040428706,11516,769,73.04029304029304,997,368
banking,0.8,164,1.0,93.73762040428706,11516,769,73.04029304029304,997,368
banking,0.9,185,1.0,93.73762040428706,11516,769,73.04029304029304,997,368
banking,1.0,206,1.0,93.73762040428706,11516,769,73.04029304029304,997,368
slack,0.5,146,1.0,89.64287027842143,8124,939,71.7974180734856,723,284
slack,0.6,175,1.0,89.64287027842143,8124,939,71.7974180734856,723,284
slack,0.7,205,1.0,89.64287027842143,8124,939,71.7974180734856,723,284
slack,0.8,234,1.0,89.64287027842143,8124,939,71.7974180734856,723,284
slack,0.9,263,1.0,89.64287027842143,8124,939,71.7974180734856,723,284
slack,1.0,293,1.0,89.64287027842143,8124,939,71.7974180734856,723,284
travel,0.5,258,1.0,92.5278544413779,9052,731,91.99632014719411,1000,87
travel,0.6,310,1.0,92.5278544413779,9052,731,91.99632014719411,1000,87
travel,0.7,361,1.0,92.5278544413779,9052,731,91.99632014719411,1000,87
travel,0.8,413,1.0,92.5278544413779,9052,731,91.99632014719411,1000,87
travel,0.9,465,1.0,92.5278544413779,9052,731,91.99632014719411,1000,87
travel,1.0,517,1.0,92.5278544413779,9052,731,91.99632014719411,1000,87
workspace,0.5,219,1.0,87.60268248435558,14326,2027,87.17666483214089,1584,233
workspace,0.6,263,1.0,87.60268248435558,14326,2027,87.17666483214089,1584,233
workspace,0.7,307,1.0,87.60268248435558,14326,2027,87.17666483214089,1584,233
workspace,0.8,351,1.0,87.60268248435558,14326,2027,87.17666483214089,1584,233
workspace,0.9,395,1.0,87.60268248435558,14326,2027,87.17666483214089,1584,233
workspace,1.0,439,1.0,87.60268248435558,14326,2027,87.17666483214089,1584,233
